Any deal with upfront > $10M; excluding acquisitions < $300M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal Title,Pharma,Biotech,Other Company Names (Principal Company),Principal Company Type,Other Company Names (Partner Company),Partner Company Type,Bucket,Modality,TA,# of Targets,Color,Deal Start Date,Most Recent Event Date,Agreement Type,Deal Asset Type,Deal Transaction Type,Status,Total Projected,Total Paid,Upfront Payment,Total Milestone,Royalties (Minimum; estimate),Royalties (Maximum; estimate),Indications,Target-based Actions,Technologies,Drugs,Drugs Highest Status (Deal Start),Drugs Highest Status (Current),Territories Included,Territories Excluded
"Evotec and Celgene to discover and develop therapeutics in oncology including solid tumors, worldwide",Celgene Corp,Evotec SE,EVOTEC BioSystems AG; EVOTEC BioSystems GmbH; Evotec Ag; Evotec Biosystems Ag & Merch Patent Gmbh; Evotec Neurosciences; Evotec Neurosciences GmbH; Evotec OAI; Evotec OAI AG; Oxford Asymmetry International plc,Pharma,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Screening,Small Molecule,Cancer,mult. unspec.,initial focus on solid tumors,21-May-2018,21-May-2018,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,65,65,65,Payment Unspecified,,,Cancer (Primary); Solid tumor,,Small molecule therapeutic (Primary),,Discovery,,World,
Evotec to develop Sanofi's infectious disease research and early-stage development portfolio with option for Sanofi to develop and commercialize,Sanofi SA,Evotec SE,EVOTEC BioSystems AG; EVOTEC BioSystems GmbH; Evotec Ag; Evotec Biosystems Ag & Merch Patent Gmbh; Evotec Neurosciences; Evotec Neurosciences GmbH; Evotec OAI; Evotec OAI AG; Oxford Asymmetry International plc,Pharma,Chinoin Zrt; Dgfp-Delta; Sanofi; Sanofi – Synthelabo; Sanofi-Aventis Gmbh; Sanofi-Aventis Group; Sanofi-Aventis Spa; Sanofis-Aventis; Zentiva; sanofi-aventis,Pharma,Asset License,Small Molecule,Infection,10,"transfer of Sanofi's whole infectious disease unit, incl. employees",08-Mar-2018,01-Jul-2018,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Basic License (Licensee takes over),Active,70.67,71.54,70.67,,,,Infectious disease (Primary); Mycobacterium tuberculosis infection; Plasmodium infection,,Small molecule therapeutic (Primary),,Discovery,,,
TESARO divests North American rights of oral and intravenous formulations of Varubi to TerSera,TerSera Therapeutics LLC,TESARO Inc,Tesaro,Biotech,,Pharma,Asset License,Small Molecule,Neurology/Psychiatric,1,,28-Jun-2018,12-Jul-2018,Drug - Asset Divestment,Product(s) only; Drug,Asset Purchase,Completed,60,35,40,20,,20,Anxiety disorder (Primary); Chemotherapy induced nausea and vomiting; Chemotherapy-induced emesis; Cough; Depression; Emesis; Nausea,NK1 receptor antagonist,Small molecule therapeutic (Primary); Intravenous formulation; Oral formulation; Tablet formulation,"rolapitant (iv, CINV), TESARO; rolapitant (oral), TESARO",Launched,Launched,Canada; US,
"Sanofi and REVOLUTION Medicines to develop and commercialize SHP2 inhibitors, including RMC-4630, for NSCLC and other cancers worldwide",Sanofi SA,REVOLUTION Medicines Inc,,Pharma,Chinoin Zrt; Dgfp-Delta; Sanofi; Sanofi – Synthelabo; Sanofi-Aventis Gmbh; Sanofi-Aventis Group; Sanofi-Aventis Spa; Sanofis-Aventis; Zentiva; sanofi-aventis,Pharma,Screening,Small Molecule,Cancer,1,"multiple SHP2 inhibitors for different cancers - all pre-clinical, so seems like the core value prop of Revolution is their screening methodology",18-Jul-2018,18-Jul-2018,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities);License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion),Active,550,50,50,500,,Payment Unspecified,Cancer (Primary); Non-small-cell lung cancer,Protein tyrosine phosphatase-2C inhibitor,Small molecule therapeutic (Primary),RMC-4630,Preclinical,Phase 2 Clinical,World,
Anima Biotech to discover and develop translation inhibitors for Lilly's targets,Eli Lilly & Co,Anima Biotech Inc,,Pharma,C/O Eli Lilly & Co; Eli Lilly & Compny; Eli Lilly and Company; Eli Lily & Co; Elli Lilly & Co; Ely Lilly & Co; Lilly Eli & Et Al Co; Lilly Korea Ltd,Pharma,Screening,Small Molecule,Unknown,mult. unspec.,"Small molecules targeting protein translation, rather than the protein itself",23-Jul-2018,23-Jul-2018,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities),Active,1094,30,30,1050,,Payment Unspecified,Unidentified indication (Primary),Protein target,Small molecule therapeutic (Primary),,Discovery,,,
Biogen acquires ALG-801 and ALG-802 assets from Alivegen for neuromuscular indications,Biogen Inc,Alivegen USA Inc,,Pharma,Biogen Chesapeake Llc; Biogen Idec; Biogen Idec Inc; Biogen Idec International Neuroscience Gmbh; Biogen Idec Ma Inc; Biogen Srl; Idec Pharmaceuticals Corp,Pharma,Asset License,Small Molecule,Neurology/Psychiatric,1,"2 assets, 1 target",24-Jul-2018,24-Jul-2018,Drug - Asset Divestment,Product(s) only; Drug,Asset Purchase,Completed,562.5,27.5,27.5,535,,,Neuromuscular disease (Primary); Motor neurone disease; Spinal muscular atrophy,Activin type-IIB receptor antagonist; GDF-8 antagonist,Peptide (Primary); Biological therapeutic; Parenteral formulation unspecified; Protein recombinant,ALG-802; BIIB-110,Phase 1 Clinical,Phase 1 Clinical,,
bluebird and Gritstone to develop and commercialize novel cell therapies using EDGE technology against cancer,bluebird bio Inc,Gritstone Oncology,Grit Research Institute; Gritstone Oncology Inc,Pharma,Genetix Pharmaceuticals Inc,Biotech,Screening,Cell Therapy,Cancer,10,Bluebird will develop gene & cell therapies based on Gritstone's TCR targets,20-Aug-2018,20-Aug-2018,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,1595,20,20,1565,,Payment Unspecified,Cancer (Primary),,Cell therapy (Primary); Other technologies,,Discovery,,,
Eli Lilly to develop and commercialize Chugai's OWL-833 against type 2 diabetes worldwide,Eli Lilly & Co,Chugai Pharmaceutical Co Ltd,Chugai Pharmaceutical Inc; Chugai Seiyaku KK; Chugai Seiyaku Kabushi Kaisha; Chugai Seiyaku Kabushiki Kaisya; Chugai Seiyaku Kabushikikaisha,Pharma,C/O Eli Lilly & Co; Eli Lilly & Compny; Eli Lilly and Company; Eli Lily & Co; Elli Lilly & Co; Ely Lilly & Co; Lilly Eli & Et Al Co; Lilly Korea Ltd,Pharma,Asset License,Small Molecule,Endocrine/Metabolic,1,diabetes,26-Sep-2018,26-Sep-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,50,50,50,Payment Unspecified,,Payment Unspecified,Non-insulin dependent diabetes (Primary),Glucagon-like peptide 1 receptor agonist,Small molecule therapeutic (Primary); Oral formulation,LY-3502970,Preclinical,Phase 1 Clinical,World,
AbbVie to obtain an option to develop and commercialize Morphic's oral integrin therapeutics for fibrosis-related indications worldwide,AbbVie Inc,Morphic Therapeutic Inc,Morphic Holding; Morphic Rock Therapeutic Inc,Biotech,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Screening,Small Molecule,Inflammatory,mult. unspec.,"Integrin targeting discovery, fibrosis targets",16-Oct-2018,16-Oct-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,470,Payment Unspecified,100,350,,Payment Unspecified,Fibrosis (Primary); Hepatobiliary disease,Integrin alpha-V/beta-6 modulator,Small molecule therapeutic (Primary); Oral formulation,MORF-720,Discovery,Preclinical,World,
AstraZeneca to acquire an option to Innate's IPH-5201 and four preclinical compounds for cancer,AstraZeneca plc,Innate Pharma SA,Innate Pharma; Innate Pharma SAS; Innate Pharma Sa,Biotech,Astra Zeneca Holding France; Astrazeneca; Astrazeneca Pharma India Ltd; Astrazeneca Pharmaceuticals; Astrazeneca Pty Ltd; Astrazeneca Research Foundation; Hackplimco No Five PLC; Ici Bioscience PLC; Zeneca Group PLC,Pharma,Asset License,Antibody,Cancer,6,"2 known, 4 pre clin assets",23-Oct-2018,23-Oct-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license);License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion),Active,70,Unknown,70,Payment Unspecified,,,Cancer (Primary),CD39 antagonist; MHC class I polypeptide sequence A inhibitor; MHC class I polypeptide sequence B inhibitor,Monoclonal antibody (Primary); Antibody drug conjugate; Biological therapeutic; Immuno-oncology; Immunoglobulin G isotype antibody; Monoclonal antibody humanized; Parenteral formulation unspecified; Small molecule therapeutic,IPH-25; IPH-43; IPH-5201,Preclinical,Phase 1 Clinical,,
Enterome and Takeda to codevelop and copromote EB-8018 against Crohn's disease worldwide,Takeda Pharmaceutical Co Ltd,Enterome SA,Agro Biotech Accelerateur SA; ENTEROME Bioscience SA; Enterome,Biotech,Chobei Takeda & Co Ltd; Keda Chem Ind Ltd; Shire; Takeda Chem Ind Ltd; Takeda Chemical Industries; Takeda Chemical Industries Ltd; Takeda Corp; Takeda Pharmaceutical Co; Takeda Pharmaceutical Co Limted; Takeda Pharmaceutical Corp Ltd; Takeda Pharmaceuticals America Inc; Takeda Pharmaceuticals USA Inc; Takeda Yakuhin Kogyo KK,Pharma,Asset License,Small Molecule,Gastrointestinal,1,,23-Oct-2018,23-Oct-2018,Drug - Development/Commercialization License,Drug; Product(s) only,License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion);License - Co-Development/Co-Development Option (Shared responsibilities and costs);License - Equity/Equity Option (Licensee invests in Licensor company),Active,690,50,50,640,,Payment Unspecified,Crohns disease (Primary); Gastrointestinal disease; Liver disease,Protein fimH inhibitor,Small molecule therapeutic (Primary); Oral formulation,sibofimloc,Phase 1 Clinical,Phase 2 Clinical,World,
Pfizer to develop Ctxone's chromatin modifying enzymes against solid and blood-borne cancers,Pfizer Inc,Cancer Therapeutics CRC Pty Ltd,Cancer Therapeutics CRC,Pharma,Chas Pfizer & Co Inc; Pfizer; Pfizer Charles & Co Inc; Pfizer Inc Products Inc; Pfizer Limted; Pfizer Manufacturing Ireland; Pfizer Science & Technology Ireland Ltd; Pflzer Inc,Pharma,Asset License,Small Molecule,Cancer,2,"pre-clinical, blood cancer targets unspecified",26-Oct-2018,26-Oct-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities),Active,474.2,14.2,14.2,460,,Payment Unspecified,Solid tumor (Primary); Hematological neoplasm,Unspecified enzyme modulator,Small molecule therapeutic (Primary),"Chromatin modifying enzyme modulator, CTxONE/Pfizer/Cancer Therapeutics CRC",Preclinical,Preclinical,,
Janssen Biotech to develop and commercialise Yuhan's Lazertinib against NSCLC worldwide excluding Republic of Korea,Janssen Biotech Inc,Yuhan Corp,Yuhan Co Ltd; Yuhan Pharmaceuticals; Yuhan Yang Haeng,Pharma,"BIOCAD; Centocor; Centocor Inc; Centocor Ortho Biotech Inc; Centocor R&D Inc; Centocor Research and Development Inc; Centocor, Inc; Centocor_Ortho Biotech Inc; Jannsen Biotech Inc; Janssen Biotech; Ortho Biotech Holding Llc",Pharma,Asset License,Small Molecule,Cancer,1,,05-Nov-2018,05-Nov-2018,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,1255,50,50,1205,,Payment Unspecified,Non-small-cell lung cancer (Primary),Epidermal growth factor receptor antagonist; Programmed cell death ligand 1 inhibitor,Small molecule therapeutic (Primary); Immuno-oncology; Oral formulation,lazertinib,Phase 2 Clinical,Phase 3 Clinical,World,South Korea
Vector Therapeutics to acquire option rights for Immune Pharmaceuticals' Ceplene assests worldwide,Vector Therapeutics Inc,Immune Pharmaceuticals Inc,EpiCept Corp; Immune Pharmaceuticals Corp; Immune Pharmaceuticals Ltd,Pharma,Oxygen Therapy Inc,Biotech,Asset License,Small Molecule,Cancer,1,,23-Nov-2018,23-Nov-2018,Drug - Asset Divestment,Product(s) only; Drug,Asset Purchase,Active,18.6,0.5,18,,,,Acute myelogenous leukemia (Primary); Chronic myelocytic leukemia,Histamine H2 receptor agonist; NADPH oxidase 2 inhibitor,Small molecule therapeutic (Primary); Subcutaneous formulation,"histamine dihydrochloride (subcutaneous, cancer), Immune Pharmaceuticals (Fast Track, Orphan Drug)",Launched,Suspended,World,
Kineta Immuno-Oncology and Pfizer to develop RIG-I agonist immunotherapies for cancer,Pfizer Inc,"Kineta, Immuno-Oncology LLC",Kineta IO LLC,Biotech,Chas Pfizer & Co Inc; Pfizer; Pfizer Charles & Co Inc; Pfizer Inc Products Inc; Pfizer Limted; Pfizer Manufacturing Ireland; Pfizer Science & Technology Ireland Ltd; Pflzer Inc,Pharma,Screening,Small Molecule,Cancer,mult. unspec.,RIG-I agnoist screening,17-Dec-2018,17-Dec-2018,Drug - Development/Commercialization License,Product(s) Plus (Platform Technology and/or Ongoing Research); Drug,License - Collaboration (Shared responsibilities),Active,520,15,15,505,,Payment Unspecified,Cancer (Primary),Interferon regulatory factor 3 stimulator; Retinoic acid-inducible gene 1 stimulator,Small molecule therapeutic (Primary); Immuno-oncology; Oral formulation,"RIG-I/IRF3 agonists (cancer), Kineta Immuno-Oncology/ Pfizer",Preclinical,Preclinical,,
"Eli Lilly to research, develop and commercialize Aduro's cGAS-STING Pathway Inhibitor against autoimmune and other inflammatory diseases worldwide",Eli Lilly & Co,Aduro BioTech Inc,Aduro Biotech,Biotech,C/O Eli Lilly & Co; Eli Lilly & Compny; Eli Lilly and Company; Eli Lily & Co; Elli Lilly & Co; Ely Lilly & Co; Lilly Eli & Et Al Co; Lilly Korea Ltd,Pharma,Asset License,Small Molecule,Immune,mult. unspec.,"Expertise in STING pathway at Aduro, Lilly gaining foothold in that pathway, all assets pre-clin",18-Dec-2018,18-Dec-2018,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities),Active,632,12,12,620,,Payment Unspecified,Autoimmune disease; Inflammatory disease,Stimulator of interferon genes protein inhibitor,Small molecule therapeutic (Primary),"cGAS-STING pathway inhibitor program (autoimmune and inflammatory diseases), Audro BioTech/ Eli Lilly",Discovery,Discovery,World,
AbbVie to develop and commercialize Lupin's MALT1 inhibitors against hematological cancers worldwide,AbbVie Inc,Lupin Ltd,Lupin Atlantis Holdings Sa; Lupin Chemicals Ltd; Lupin Laboratories Ltd; Lupin Ltd ( Research Park),Pharma,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Asset License,Small Molecule,Cancer,1,Inhibitors of MALT-1,24-Dec-2018,24-Dec-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,977,30,30,947,,Payment Unspecified,Hematological neoplasm (Primary),MALT protein 1 inhibitor,Small molecule therapeutic (Primary); Systemic formulation unspecified,LND-700110,Discovery,Preclinical,World,India
Biogen acquires Pfizer's PF-04958242 for cognitive impairment associated with schizophrenia,Biogen Inc,Pfizer Inc,Chas Pfizer & Co Inc; Pfizer; Pfizer Charles & Co Inc; Pfizer Inc Products Inc; Pfizer Limted; Pfizer Manufacturing Ireland; Pfizer Science & Technology Ireland Ltd; Pflzer Inc,Pharma,Biogen Chesapeake Llc; Biogen Idec; Biogen Idec Inc; Biogen Idec International Neuroscience Gmbh; Biogen Idec Ma Inc; Biogen Srl; Idec Pharmaceuticals Corp,Pharma,Asset License,Small Molecule,Neurology/Psychiatric,1,Schizophrenia,12-Mar-2018,24-Dec-2018,Drug - Asset Divestment,Product(s) only; Drug,Asset Purchase,Completed,590,85,75,515,,Payment Unspecified,Cognitive disorder (Primary); Schizophrenia,AMPA receptor agonist,Small molecule therapeutic (Primary); Capsule formulation; Oral formulation,BIIB-104,Phase 1 Clinical,Phase 2 Clinical,,
