G,Mylan acquires worldwide commercialization rights related to TOBI Podhaler and TOBI solution against CF from Novartis,Mylan NV,Novartis AG,Novartis; Novartis GmbH; Sandoz Private Ltd,Pharma,Mylan Development Centre Private Ltd; Mylan Inc; Mylan Laboratories Inc; Mylan Uk Healthcare Ltd; New Moon BV,Pharma,Asset License,,Respiratory,1,CF,30-Jul-2018,31-Aug-2018,31-Aug-2018,Drug - Asset Divestment,Drug; Product(s) only,Asset Purchase,Completed,463,463,240,463,,Cystic fibrosis (Primary); Bacterial pneumonia; Bacterial respiratory tract infection; Bronchiectasis; Mycobacterium tuberculosis infection; Pseudomonas aeruginosa infection,,Small molecule therapeutic (Primary); Aerosol formulation inhalant; Antibiotic; Capsule formulation; Inhalant formulation; Oral formulation; Powder formulation inhalant; Ribosome inactivator; Solution,"tobramycin (dry powder inhaler, Inhance), Mylan (Orphan Drug); tobramycin (nebulized), Novartis (Orphan Drug)",,,,,Launched,Launched,World,
G,Axovant to develop and commercialize Oxford's OXB-102 and its predecessor product ProSavin for Parkinson’s disease worldwide,Axovant Gene Therapies Ltd,Oxford BioMedica plc,Oxford Biomedica (UK) Ltd; Pinco 838 Ltd,Pharma,Axovant Sciences Ltd; Roivant Neurosciences; Roivant Neurosciences Ltd,Pharma,Asset License,Gene Therapy,Neurology/Psychiatric,1,Parkinson's,05-Jun-2018,,30-Apr-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license);License - Basic License (Licensee takes over);License - Supply (Licensor manufactures product),Active,842.5,842.5,45,30,,Parkinsons disease (Primary),Dopa decarboxylase stimulator; GTP cyclohydrolase-I stimulator; Tyrosine hydroxylase stimulator,Gene transfer system viral (Primary); Biological therapeutic; Gene transfer system; Injectable formulation; Parenteral formulation unspecified; Virus recombinant,AXO-Lenti-PD; ProSavin (Orphan Drug),812.5,812.5,10,10,Phase 2 Clinical,Phase 2 Clinical,World,
G,"Sarepta Therapeutics to develop and commercialize Myonexus Therapeutics' five LGMD gene therapy candidates, with an option to acquire Myonexus",Sarepta Therapeutics Inc,Myonexus Therapeutics Inc,,Biotech,AVI BioPharma Inc; AntiVirals Inc,Pharma,Asset License,Gene Therapy,Musculoskeletal,5,"LGMD2E, LGMD2D, LGMD2B, LGMD2C and LGMD2L; Update to original deal, exercising right to acquire",03-May-2018,,26-Feb-2019,Drug - Development/Commercialization License,Product(s) only; Company; Drug,License - Collaboration (Shared responsibilities);Acquisition - Option,Active,105,105,60,60,,Limb girdle muscular dystrophy (Primary),Anoctamin 5 stimulator; DYSF gene stimulator; SGCB gene stimulator; Sarcoglycan alpha stimulator; Sarcoglycan gamma stimulator,Gene transfer system viral (Primary); Biological therapeutic; Infusion; Intramuscular formulation; Intravenous formulation; Systemic formulation unspecified; Virus recombinant,SRP-6004 (Orphan Drug); SRP-9003 (Orphan Drug); SRP-9004 (Orphan Drug); SRP-9005; SRP-9006,45,45,,,Phase 2 Clinical,Phase 2 Clinical,,
G,ApolloBio to develop and commercialize Tocagen's Toca-511 for HGG in Greater China,ApolloBio Corp,Forte Biosciences Inc,Tocagen Inc,Pharma,Beijing Quanyou Time Science and Technology Co Ltd,Other (industrial),Asset License,Gene Therapy,Cancer,1,Commercialize Toca 511 & Toca FC for HGG,17-Apr-2018,,09-Jul-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,127,127,16,16,,Glioma (Primary),CDA gene stimulator; Cytosine deaminase stimulator,Gene directed enzyme prodrug therapy (Primary); Antibiotic; Biological therapeutic; Gene technology; Intratumoral formulation; Intravenous formulation; Oral formulation; Oral sustained release formulation; Virus recombinant,"vocimagene amiretrorepvec + 5-fluorouracil prodrug (cancer), Tocagen (Fast Track, Orphan Drug)",111,111,Payment Unspecified,Payment Unspecified,Phase 3 Clinical,Phase 3 Clinical,China; Hong Kong; Macau; Taiwan,
G,Orchard Therapeutics to acquire GSK's portfolio of approved and investigational rare disease gene therapies,Orchard Therapeutics Ltd,GlaxoSmithKline plc,Glaxo Smith Kline Intellectual Property (No) Ltd; Glaxo Wellcome Manufacturing Pte Ltd; Glaxosmithkline Intellectual Property (No 2) Ltd; Glaxosmithkline Intellectual Property (N°2) Ltd; Glaxosmithkline Intellectual Property Development; Glaxosmithkline Intellectual Property Development Ltd; Glaxosmithkline Intellectual Property Developments Ltd; Glaxosmithkline Intellectual Property Fevelopment Ltd; Glaxosmithkline Intellectual Property Ltd; Glaxosmithkline Intellectual Property Management Ltd; Glaxosmithkllne Intellectual Property Development Ltd; Glsxosmithkline Intellectual Property Development Ltd; Trushelfco No2577 Ltd,Pharma,,Biotech,Asset License,Gene Therapy,Rare Disease,4,Orchard took RD GTx portfolio; GSK took 20% stake in Orchard,11-Apr-2018,24-Apr-2018,24-Apr-2018,Drug - Asset Divestment,Product(s) only; Capital(Grants/Loans/Equity Inv./ Royalty buyouts); Drug,Asset Purchase;Equity/Equity Option (<50% Stake) - Standalone),Active,139.11,139.11,13.91,13.91,,Rare disease (Primary); Adenosine deaminase deficiency; Beta thalassemia; Metachromatic leukodystrophy; Mucopolysaccharidosis type I; Wiskott-Aldrich syndrome,ADA gene stimulator; ARSA gene stimulator; CD34 modulator; HBB gene stimulator; Hemoglobin beta subunit modulator; WASP gene stimulator; Wiskott-Aldrich syndrome protein stimulator,Stem cell therapy (Primary); Autologous stem cell therapy; Biological therapeutic; Gene transfer system viral; Haematopoietic stem cell therapy; Injectable formulation; Intravenous formulation; Parenteral formulation unspecified; Peripheral blood stem cell therapy; Systemic formulation unspecified; Virus recombinant,OTL-103 (Orphan Drug); OTL-200 (Orphan Drug); OTL-300 (Orphan Drug); Strimvelis (Orphan Drug),125.2,125.2,Payment Unspecified,Payment Unspecified,Launched,Launched,,
G,Akcea to commercialize Ionis's inotersen and jointly develop and commercialize AKCEA-TTR-LRx for hATTR worldwide,Akcea Therapeutics Inc,Ionis Pharmaceuticals Inc,Ionis Pharmaceuiticals Inc; Isis Pharm Inc; Isis Pharmaceuticals Inc,Biotech,,Pharma,Asset License,ASO,Neurology/Psychiatric,1,Akcea affiliate of Ionis; licensed Inotersen for hATTR,14-Mar-2018,,25-Nov-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,1880,2005,475,150,,Familial amyloid neuropathy (Primary),Amyloid protein deposition inhibitor; TTR gene inhibitor; Transthyretin inhibitor,Oligonucleotide antisense (Primary); Biological therapeutic; Subcutaneous formulation,"ION-682884; inotersen (Fast Track, Orphan Drug); vupanorsen",1530,1530,,,Pre-registration,Launched,World,
G,Novartis to develop and commercialize Spark Therapeutics' Luxturna against rare inherited vision loss worldwide except the US,Novartis AG,Spark Therapeutics LLC,AAVenue Therapeutics LLC; Spark Therapeutics Inc,Biotech,Novartis; Novartis GmbH; Sandoz Private Ltd,Pharma,Asset License,Gene Therapy,Ocular,1,Luxturna,24-Jan-2018,,24-Jan-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over);License - Supply (Licensor manufactures product),Active,170,170,105,105,,Vision disorder (Primary),RPE65 gene stimulator,Gene transfer system (Primary); Biological therapeutic; Ophthalmic formulation; Virus recombinant,voretigene neparvovec (Orphan Drug),65,65,Payment Unspecified,Payment Unspecified,Registered,Launched,World,US
G,Jazz Pharmaceuticals purchases Spark's rare pediatric disease priority review voucher of Luxturna for biallelic RPE65 mutation-associated retinal dystrophy,Jazz Pharmaceuticals plc,Spark Therapeutics LLC,AAVenue Therapeutics LLC; Spark Therapeutics Inc,Biotech,Azur Pharma Public Ltd Co; Jazz Pharma Ireland Ltd; Jazz Pharmaceuticals; Jazz Pharmaceuticals Inc; Jazz Pharmaceuticals Ireland Ltd,Pharma,Asset License*,Gene Therapy,Ocular,,*Priority Review Voucher purchased for any program,30-Apr-2018,23-May-2018,23-May-2018,Technology - Asset Divestment,Other Technology,Asset Purchase,Completed,110,110,110,110,,Retinitis pigmentosa (Primary); Lebers congenital amaurosis,RPE65 gene stimulator,Gene transfer system viral (Primary); Biological therapeutic; Ophthalmic formulation; Virus recombinant,voretigene neparvovec (Orphan Drug),,,,,Registered,Launched,,
J,Eli Lilly and Evox to develop oligonucleotides for the treatment of neurological disorders using DeliverEX platform,Eli Lilly & Co,EvOx Therapeutics,Evox Therapeutics Ltd,Biotech,C/O Eli Lilly & Co; Eli Lilly & Compny; Eli Lilly and Company; Eli Lily & Co; Elli Lilly & Co; Ely Lilly & Co; Lilly Eli & Et Al Co; Lilly Korea Ltd,Pharma,Delivery,Exosome,Neurology/Psychiatric,5,Exosomes; co-development collaboration versus direct licensing; for CNS delivery.,09-Jun-2020,,9-Jun-2020,Drug - Development/Commercialization License,Drug Delivery Technology; Drug,License - Collaboration (Shared responsibilities),Active,1230,1230,20,20,low single digit,Neurological disease (Primary),,Oligonucleotide antisense (Primary); Assay; RNA technology,,1200,1200,Payment Unspecified,Payment Unspecified,,,,
J,"Vertex and Affinia Therapeutics to discover and develop AAV capsids to deliver transformative genetic therapies for serious diseases, worldwide",Vertex Pharmaceuticals Inc,Affinia Therapeutics,,Biotech,Veritas Pharmaceuticals Inc; Vertex Pharmaceuticals; Vertex Pharmaceuticals Incorporated,Pharma,Delivery,AAV,Musculoskeletal,4,AAV eng; exclusive license in DMD and DM1 with exclusive option to license for CF and one more disease,27-Apr-2020,,27-Apr-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,1600,1600,80,80,,Duchenne dystrophy (Primary); Cystic fibrosis; Myotonic dystrophy type 1,,Gene transfer system viral (Primary),,Payment Unspecified,Payment Unspecified,,,Discovery,,World,
J,Takeda and EvOx to develop protein replacement and mRNA therapies to treat rare diseases including Niemann-Pick Type C,Takeda Pharmaceutical Co Ltd,EvOx Therapeutics,Evox Therapeutics Ltd,Biotech,Chobei Takeda & Co Ltd; Keda Chem Ind Ltd; Shire; Takeda Chem Ind Ltd; Takeda Chemical Industries; Takeda Chemical Industries Ltd; Takeda Corp; Takeda Pharmaceutical Co; Takeda Pharmaceutical Co Limted; Takeda Pharmaceutical Corp Ltd; Takeda Pharmaceuticals America Inc; Takeda Pharmaceuticals USA Inc; Takeda Yakuhin Kogyo KK,Pharma,Delivery,Exosome,Rare Disease,5,protein replacement/mRNA drugs; NPC + 4 unspecified diseases; more like a collaboration than license,26-Mar-2020,,26-Mar-2020,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,882,882,44,44,,Rare disease (Primary); Niemann Pick disease type C,,Oligonucleotide (Primary); Biological therapeutic; Protein technology,,838,838,Payment Unspecified,Payment Unspecified,Preclinical,,,
J,Sarepta Therapeutics and StrideBio to develop in vivo AAV-based therapies for up to eight CNS and neuromuscular targets worldwide,Sarepta Therapeutics Inc,StrideBio LLC,,Biotech,AVI BioPharma Inc; AntiVirals Inc,Pharma,Delivery,AAV,Neurology/Psychiatric,8,"4 targets chosen (MECP2 (Rett syndrome), SCN1A (Dravet syndrome), UBE3A (Angelman syndrome), and NPC1 (Niemann-Pick)); 4 additional optional",13-Nov-2019,,13-Nov-2019,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license);License - Equity/Equity Option (Licensee invests in Licensor company),Active,90.5,90.5,48,42.5,,Dravet syndrome (Primary); Angelman syndrome; Central nervous system disease; Emery Dreifuss muscular dystrophy; Muscle disease; Niemann Pick disease; Niemann Pick disease type C1; Rett syndrome,MECP2 gene modulator; Methyl CpG binding protein 2 stimulator; NPC1 gene modulator; NPC1 gene stimulator; SCN1A gene modulator; SCN1A gene stimulator; SCN1A sodium channel subunit stimulator; UBE3A gene modulator; UBE3A gene stimulator,Gene transfer system (Primary); Biological therapeutic; Infusion; Intravenous formulation; Oligonucleotide; Virus recombinant,"AAV gene therapy (Emery-Dreifuss muscular dystrophy), Sarepta/Columbia University; AAV gene therapy (target 1, CNS/Muscle disease), Sarepta Therapeutics/StrideBio; AAV gene therapy (target 2, CNS/Muscle disease), Sarepta Therapeutics/ StrideBio; AAV gene therapy (target 3, CNS/Muscl disorder) Sarepta Therapeutics/ StrideBio; AAV gene therapy (target 4, CNS/Muscle disorder) Sarepta Therapeutics/ StrideBio; AAV-MeCP2 gene therapy (Rett syndrome 2), Sarepta/StrideBio; AAV-NPC1 gene therapy (Niemann-Pick), Sarepta/StrideBio; AAV-SCN1A gene therapy (Dravet syndrome), Sarepta/StrideBio; AAV-UBE3A gene therapy (Angelman syndrome), Sarepta/StrideBio",Payment Unspecified,Payment Unspecified,Payment Unspecified,Payment Unspecified,Discovery,Discovery,World,
J,"AbbVie to enter option for development and commercialization of Voyager's vectorized antibodies against alpha-synuclein for PD, worldwide",AbbVie Inc,Voyager Therapeutics,Voyager Therapeutics Inc,Biotech,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Delivery,AAV,Neurology/Psychiatric,1,Parkinson's; with option to commercialize multiple products against synuclein target,21-Feb-2019,,21-Feb-2019,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license),Active,1537.5,1537.5,65,65,,Parkinsons disease (Primary),Synuclein alpha inhibitor,Antibody (Primary); CNS formulation; Gene transfer system viral; Intravenous formulation; Virus recombinant,"anti-alpha-synuclein vectorized antibodies (BBB AAV capsids, Parkinson's disease), Voyager Therapeutics",1227.5,1227.5,Payment Unspecified,Payment Unspecified,Discovery,Preclinical,World,
G,Abeona to use REGENXBIO's NAV AAV9 vector to develop and commercialize gene therapies for four rare genetic diseases worldwide,Abeona Therapeutics Inc,REGENXBIO Inc,RegenX Biosciences LLC; Regenx LLC,Biotech,Access One; Access Pharmaceuticals Australia Pty Ltd; Access Pharmaceuticals Inc; Access Three; Access Two; Chemex Pharmaceuticals Inc; Chemex-Delaware Inc; PlasmaTech Biopharmaceuticals Inc,Pharma,Delivery,AAV,Rare Disease,4,License,04-Nov-2018,,4-Nov-2018,Technology - Delivery/Formulation,Drug Delivery Technology,License - Basic License (Licensee takes over),Active,180,180,10,20,,Lysosome storage disease (Primary); Neuronal ceroid lipofuscinosis; Sanfilippo syndrome; Santavuori-Haltia disease; Spielmeyer-Vogt disease,,Gene transfer system viral (Primary),"ABO-101 (Fast Track, Orphan Drug); ABO-201 (Orphan Drug); ABO-202 (Fast Track, Orphan Drug); rebisufligene etisparvovec (Fast Track, Orphan Drug)",60,60,,,Phase 2 Clinical,Phase 2 Clinical,World,
G,"AbbVie and Voyager to develop and commercialize vectorized mAbs against tau for AD and other neurodegenerative diseases, worldwide",AbbVie Inc,Voyager Therapeutics,Voyager Therapeutics Inc,Biotech,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Delivery,AAV,Neurology/Psychiatric,1,Vectorized antibodies; Alzheimer's + other tau-related diseases,16-Feb-2018,,16-Feb-2018,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,1179,1179,69,69,,Alzheimers disease (Primary); Neurodegenerative disease,Tau kinase inhibitor; Tau protein inhibitor,Monoclonal antibody (Primary); Biological therapeutic; Gene transfer system viral; Virus recombinant,"anti-tau vectorized mAbs (AAV-based delivery, Alzheimer’s disease/neurodegenerative diseases), Voyager Therapeutics/ AbbVie",1035,1035,Payment Unspecified,Payment Unspecified,Discovery,Discovery,World,
J,"Silence and AstraZeneca to discover, develop and commercialize siRNA therapies for cardiovascular, renal, metabolic and respiratory diseases",AstraZeneca plc,Silence Therapeutics plc,SR Pharma plc; Silence Therapeutics; Silence Therapeutics (London) Limited; Stanford Rook Hldg PLC; Stanford Rook Holdings plc,Pharma,Astra Zeneca Holding France; Astrazeneca; Astrazeneca Pharma India Ltd; Astrazeneca Pharmaceuticals; Astrazeneca Pty Ltd; Astrazeneca Research Foundation; Hackplimco No Five PLC; Ici Bioscience PLC; Zeneca Group PLC,Pharma,Modality,RNAi,Cardiovascular; Metabolic; Renal,multiple unspec.,siRNA,25-Mar-2020,,25-Mar-2020,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - License Option (Option to take a license);License - Co-Development/Co-Development Option (Shared responsibilities and costs);License - Collaboration (Shared responsibilities),Active,480,480,80,60,,Cardiovascular disease; Metabolic disorder; Renal disease; Respiratory disease,,Small molecule therapeutic (Primary); RNA technology,,390,390,Payment Unspecified,Payment Unspecified,Discovery,,,
J,"Pfizer and BioNTech to codevelop and distribute mRNA-based vaccine, BNT-162 against COVID-19 infection worldwide",Pfizer Inc,BioNTech SE,BioNTech AG; Biontech Diagnostics Gmbh,Biotech,Chas Pfizer & Co Inc; Pfizer; Pfizer Charles & Co Inc; Pfizer Inc Products Inc; Pfizer Limted; Pfizer Manufacturing Ireland; Pfizer Science & Technology Ireland Ltd; Pflzer Inc,Pharma,Modality,mRNA,Infection,1,update to the original 2018 modality-focused deal to include COVID-19,17-Mar-2020,,22-Apr-2020,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,748,748,Unknown,72,,Coronavirus disease 19 infection (Primary),COVID19 Spike glycoprotein modulator,Biological therapeutic (Primary); Intramuscular formulation; Lipid; Nanoparticle formulation injectable; Oligonucleotide; Parenteral formulation unspecified; RNA technology; Solution,BNT-162a1; BNT-162b1 (Fast Track); BNT-162b2 (Fast Track); BNT-162c2,563,563,,,Preclinical,Phase 2 Clinical,World,China
J,"Biogen and Sangamo to develop ST-501, ST-502 and additional undisclosed targets for neurological diseases",Biogen Inc,Sangamo Therapeutics Inc,Sangamo BioSciences Inc,Pharma,Biogen Chesapeake Llc; Biogen Idec; Biogen Idec Inc; Biogen Idec International Neuroscience Gmbh; Biogen Idec Ma Inc; Biogen Srl; Idec Pharmaceuticals Corp,Pharma,Modality,Gene Editing,Neurology/Psychiatric,12,"Alzheimer's, Parkinson's, neuromuscular, etc; of $350M upfront, $225 was for equity",27-Feb-2020,,09-Apr-2020,Drug - Development/Commercialization License,Product(s) only; Drug,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,2720,2720,350,125,8-12%,Neurological disease (Primary); Alzheimers disease; Neuromuscular disease; Parkinsons disease,Synuclein alpha inhibitor; Tau protein inhibitor; Unspecified gene stimulator; Zinc finger protein transcription factor modulator,Gene transfer system (Primary); Biological therapeutic; Infusion; Intravenous formulation; Parenteral formulation unspecified; Virus recombinant,"ST-501; ST-502; gene regulation therapy (AAV-delivered zinc finger protein technology, undisclosed neuromuscular disease), Sangamo Therapeutics/Biogen",2370,2370,Payment Unspecified,Payment Unspecified,Preclinical,Preclinical,World,
J,"Dicerna and Novo Nordisk to discover, develop, commercialize RNAi therapies using GalXC RNAi technology with options for liver and cardio-metabolic diseases, worldwide",Novo Nordisk A/S,Dicerna Pharmaceuticals Inc,Dicerna Phamaceuticals Inc; Dicerna Pharmaceuticals; Oncorna Pharmaceuticals Inc,Pharma,Nero Nordisk A/S; Novo Nordisk; Novo Nordisk A/S (Denmark); Novo Nordisk Femcare Ag; Novo Nordisk Health Care Ag; Novo Nordisk Healthcare A/G; Novo Nordisk Inc,Pharma,Modality,RNAi,Metabolic,4,"siRNA; chronic liver disease, NASH, T2D, obesity, rare disease; 2 programs with option for Dicerna to suggest 2 more",15-Nov-2019,,02-January-2020,Drug - Discovery/Design,Drug Discovery Technology; Drug,License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion);License - Co-Development/Co-Development Option (Shared responsibilities and costs);License - Equity/Equity Option (Licensee invests in Licensor company),Active,657.5,657.5,225,175,,Non-alcoholic steatohepatitis (Primary); Heart disease; Liver disease; Metabolic disorder; Non-insulin dependent diabetes; Obesity; Rare metabolic disease,,Oligonucleotide (Primary); RNA technology,,432.5,432.5,Payment Unspecified,Payment Unspecified,Discovery,,US; World,
